name,light_years_from_earth,planet_mass,stellar_magnitude,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,solar_system_name,planet_discovery_method,planet_orbital_inclination,host_temperature,host_radius,host_mass,right_ascension,declination
hd 106315 c,357.0,15.2 Earths,8.951,Neptune-like,0.388 x Jupiter,0.1536 AU,21.1 days,0.22,hd 108874 c,HD 108874,Radial Velocity,,5551.0,1.09,0.95,12h30m27.02s,+22d52m45.98s
hd 10647 b,57.0,0.94 Jupiters,5.52,Gas Giant,1.23 x Jupiter,2.015 AU,2.7 years,0.15,hd 109246 b,HD 109246,Radial Velocity,,5844.0,1.07,1.2,12h32m06.52s,+74d29m21.62s
hd 106515 a b,111.0,9.61 Jupiters,7.971,Gas Giant,1.11 x Jupiter,4.59 AU,9.9 years,0.57,hd 109271 b,HD 109271,Radial Velocity,,5783.0,1.29,1.05,12h33m35.38s,-11d37m17.47s
hd 106906 b,336.0,11 Jupiters,7.8,Gas Giant,1.11 x Jupiter,650.0 AU,13538.6 years,0.0,hd 109271 c,HD 109271,Radial Velocity,,5783.0,1.29,1.05,12h33m35.38s,-11d37m17.47s
hd 10697 b,108.0,6.383 Jupiters,6.28262,Gas Giant,1.13 x Jupiter,2.14 AU,2.9 years,0.1,hd 109286 b,HD 109286,Radial Velocity,0.71,5694.0,1.09,0.98,12h33m35.00s,+07d16m51.26s
hd 107148 b,161.0,0.21 Jupiters,8.01,Gas Giant,0.856 x Jupiter,0.269 AU,48.1 days,0.05,hd 109749 b,HD 109749,Radial Velocity,,5824.0,1.22,1.13,12h37m16.16s,-40d48m43.72s
hd 107148 c,161.0,19.89606 Earths,8.01,Neptune-like,0.42 x Jupiter,0.1407 AU,18.3 days,0.34,hd 10975 b,HD 10975,Radial Velocity,,4840.0,11.16,1.41,01h48m39.07s,+37d57m09.92s
hd 108147 b,127.0,0.261 Jupiters,6.99,Gas Giant,0.973 x Jupiter,0.102 AU,10.9 days,0.53,hd 110014 b,HD 110014,Radial Velocity,,4445.0,20.9,2.17,12h39m14.69s,-07d59m44.41s
hd 108236 b,211.0,3.24 Earths,9.25,Super Earth,1.615 x Earth,0.04527 AU,3.8 days,0.05,hd 110082 b,HD 110082,Transit,196.7,6200.0,1.19,1.21,12h50m21.43s,-88d07m16.00s
hd 108236 c,211.0,4.94 Earths,9.25,Super Earth,2.071 x Earth,0.062 AU,6.2 days,0.03,hd 110113 b,HD 110113,Transit,735.49,5732.0,0.97,1.0,12h40m08.78s,-44d18m43.48s
